ctgov,cause,dist,parameter,est,se
NCT00970632,Protocol Violation,lnorm,meanlog,6.780e+00,4.915e-01
NCT00970632,Protocol Violation,lnorm,sdlog,3.001e-01,1.938e-01
NCT00970632,Voluntary Withdrawal,lnorm,meanlog,8.388e+00,9.392e-01
NCT00970632,Voluntary Withdrawal,lnorm,sdlog,7.549e-01,2.219e-01
NCT00975195,Adverse Event,lnorm,meanlog,9.175e+00,2.324e-01
NCT00975195,Adverse Event,lnorm,sdlog,8.880e-01,5.965e-02
NCT00975195,Lack of Efficacy,lnorm,meanlog,1.707e+01,3.066e+00
NCT00975195,Lack of Efficacy,lnorm,sdlog,1.476e+00,2.655e-01
NCT00975195,Lost to Follow-up,lnorm,meanlog,1.520e+01,2.133e+00
NCT00975195,Lost to Follow-up,lnorm,sdlog,1.332e+00,2.211e-01
NCT00975195,Other/Miscellaneous,lnorm,meanlog,1.215e+01,7.457e-01
NCT00975195,Other/Miscellaneous,lnorm,sdlog,1.178e+00,1.109e-01
NCT00975195,Protocol Violation,lnorm,meanlog,1.267e+01,8.994e-01
NCT00975195,Protocol Violation,lnorm,sdlog,1.212e+00,1.245e-01
NCT00975195,Voluntary Withdrawal,lnorm,meanlog,1.194e+01,5.640e-01
NCT00975195,Voluntary Withdrawal,lnorm,sdlog,1.282e+00,8.417e-02
NCT00996658,Other/Miscellaneous,lnorm,meanlog,7.748e+00,6.709e-01
NCT00996658,Other/Miscellaneous,lnorm,sdlog,5.050e-01,2.293e-01
NCT01064687,Adverse Event,lnorm,meanlog,1.488e+01,1.724e+00
NCT01064687,Adverse Event,lnorm,sdlog,1.546e+00,1.793e-01
NCT01064687,Lost to Follow-up,lnorm,meanlog,8.880e+00,5.629e-01
NCT01064687,Lost to Follow-up,lnorm,sdlog,4.377e-01,1.768e-01
NCT01064687,Voluntary Withdrawal,lnorm,meanlog,1.053e+01,8.182e-01
NCT01064687,Voluntary Withdrawal,lnorm,sdlog,9.103e-01,1.641e-01
NCT01075282,Adverse Event,lnorm,meanlog,1.340e+01,1.453e+00
NCT01075282,Adverse Event,lnorm,sdlog,1.315e+00,1.912e-01
NCT01075282,Other/Miscellaneous,lnorm,meanlog,1.804e+01,3.118e+00
NCT01075282,Other/Miscellaneous,lnorm,sdlog,1.709e+00,2.527e-01
NCT01075282,Voluntary Withdrawal,lnorm,meanlog,1.425e+01,1.501e+00
NCT01075282,Voluntary Withdrawal,lnorm,sdlog,1.466e+00,1.750e-01
NCT01084005,Protocol Violation,lnorm,meanlog,8.161e+00,9.161e-01
NCT01084005,Protocol Violation,lnorm,sdlog,5.683e-01,2.756e-01
NCT01087502,Adverse Event,lnorm,meanlog,8.887e+00,6.116e-01
NCT01087502,Adverse Event,lnorm,sdlog,9.306e-01,1.622e-01
NCT01126437,Adverse Event,lnorm,meanlog,1.041e+01,9.017e-02
NCT01126437,Adverse Event,lnorm,sdlog,1.115e+00,1.961e-02
NCT01126437,Lack of Efficacy,lnorm,meanlog,1.718e+01,7.298e-01
NCT01126437,Lack of Efficacy,lnorm,sdlog,1.533e+00,6.652e-02
NCT01126437,Lost to Follow-up,lnorm,meanlog,1.688e+01,7.128e-01
NCT01126437,Lost to Follow-up,lnorm,sdlog,1.489e+00,6.709e-02
NCT01126437,Other/Miscellaneous,lnorm,meanlog,1.197e+01,2.059e-01
NCT01126437,Other/Miscellaneous,lnorm,sdlog,1.073e+00,3.593e-02
NCT01126437,Protocol Violation,lnorm,meanlog,1.696e+01,7.261e-01
NCT01126437,Protocol Violation,lnorm,sdlog,1.498e+00,6.778e-02
NCT01126437,Voluntary Withdrawal,lnorm,meanlog,1.332e+01,2.076e-01
NCT01126437,Voluntary Withdrawal,lnorm,sdlog,1.455e+00,2.768e-02
NCT01126580,Adverse Event,lnorm,meanlog,1.279e+01,1.168e+00
NCT01126580,Adverse Event,lnorm,sdlog,1.401e+00,1.536e-01
NCT01126580,Lost to Follow-up,lnorm,meanlog,9.533e+00,6.696e-01
NCT01126580,Lost to Follow-up,lnorm,sdlog,7.091e-01,1.689e-01
NCT01126580,PI/Sponsor Decision,lnorm,meanlog,1.029e+01,9.381e-01
NCT01126580,PI/Sponsor Decision,lnorm,sdlog,8.266e-01,1.988e-01
NCT01126580,Voluntary Withdrawal,lnorm,meanlog,9.939e+00,6.229e-01
NCT01126580,Voluntary Withdrawal,lnorm,sdlog,9.183e-01,1.376e-01
NCT01131676,Adverse Event,lnorm,meanlog,8.005e+00,1.030e-01
NCT01131676,Adverse Event,lnorm,sdlog,5.729e-01,4.814e-02
NCT01131676,Other/Miscellaneous,lnorm,meanlog,8.731e+00,1.658e-01
NCT01131676,Other/Miscellaneous,lnorm,sdlog,5.259e-01,6.837e-02
NCT01131676,Protocol Violation,lnorm,meanlog,1.300e+01,1.164e+00
NCT01131676,Protocol Violation,lnorm,sdlog,1.144e+00,1.774e-01
NCT01131676,Voluntary Withdrawal,lnorm,meanlog,9.493e+00,3.264e-01
NCT01131676,Voluntary Withdrawal,lnorm,sdlog,5.071e-01,1.117e-01
NCT01159600,Adverse Event,lnorm,meanlog,1.275e+01,1.233e+00
NCT01159600,Adverse Event,lnorm,sdlog,1.378e+00,1.517e-01
NCT01159600,Lost to Follow-up,lnorm,meanlog,8.622e+00,9.421e-01
NCT01159600,Lost to Follow-up,lnorm,sdlog,3.988e-01,2.609e-01
NCT01159600,Other/Miscellaneous,lnorm,meanlog,1.370e+01,1.764e+00
NCT01159600,Other/Miscellaneous,lnorm,sdlog,1.391e+00,1.963e-01
NCT01159600,Voluntary Withdrawal,lnorm,meanlog,1.428e+01,1.858e+00
NCT01159600,Voluntary Withdrawal,lnorm,sdlog,1.466e+00,1.933e-01
NCT01164501,Adverse Event,lnorm,meanlog,1.073e+01,7.344e-01
NCT01164501,Adverse Event,lnorm,sdlog,1.137e+00,1.348e-01
NCT01164501,Other/Miscellaneous,lnorm,meanlog,1.315e+01,1.865e+00
NCT01164501,Other/Miscellaneous,lnorm,sdlog,1.247e+00,2.434e-01
NCT01164501,Voluntary Withdrawal,lnorm,meanlog,1.162e+01,1.168e+00
NCT01164501,Voluntary Withdrawal,lnorm,sdlog,1.124e+00,1.893e-01
NCT01167881,Adverse Event,lnorm,meanlog,1.447e+01,8.787e-01
NCT01167881,Adverse Event,lnorm,sdlog,1.473e+00,1.083e-01
NCT01167881,Lost to Follow-up,lnorm,meanlog,1.594e+01,1.617e+00
NCT01167881,Lost to Follow-up,lnorm,sdlog,1.446e+00,1.735e-01
NCT01167881,Other/Miscellaneous,lnorm,meanlog,1.481e+01,9.630e-01
NCT01167881,Other/Miscellaneous,lnorm,sdlog,1.488e+00,1.144e-01
NCT01167881,Protocol Violation,lnorm,meanlog,2.347e+01,3.501e+00
NCT01167881,Protocol Violation,lnorm,sdlog,2.004e+00,2.043e-01
NCT01167881,Voluntary Withdrawal,lnorm,meanlog,1.364e+01,8.109e-01
NCT01167881,Voluntary Withdrawal,lnorm,sdlog,1.324e+00,1.136e-01
NCT01177813,Adverse Event,lnorm,meanlog,1.323e+01,1.713e+00
NCT01177813,Adverse Event,lnorm,sdlog,1.400e+00,1.992e-01
NCT01177813,Lost to Follow-up,lnorm,meanlog,8.456e+00,6.550e-01
NCT01177813,Lost to Follow-up,lnorm,sdlog,5.558e-01,1.840e-01
NCT01177813,Other/Miscellaneous,lnorm,meanlog,1.334e+01,2.229e+00
NCT01177813,Other/Miscellaneous,lnorm,sdlog,1.316e+00,2.597e-01
NCT01177813,Voluntary Withdrawal,lnorm,meanlog,1.074e+01,1.003e+00
NCT01177813,Voluntary Withdrawal,lnorm,sdlog,1.117e+00,1.658e-01
NCT01191268,Adverse Event,lnorm,meanlog,1.275e+01,1.052e+00
NCT01191268,Adverse Event,lnorm,sdlog,1.431e+00,1.377e-01
NCT01191268,Lost to Follow-up,lnorm,meanlog,1.091e+01,1.163e+00
NCT01191268,Lost to Follow-up,lnorm,sdlog,9.074e-01,2.178e-01
NCT01191268,PI/Sponsor Decision,lnorm,meanlog,1.211e+01,1.220e+00
NCT01191268,PI/Sponsor Decision,lnorm,sdlog,1.193e+00,1.817e-01
NCT01191268,Voluntary Withdrawal,lnorm,meanlog,9.816e+00,4.970e-01
NCT01191268,Voluntary Withdrawal,lnorm,sdlog,1.007e+00,1.090e-01
NCT01191944,Adverse Event,lnorm,meanlog,1.204e+01,1.482e+00
NCT01191944,Adverse Event,lnorm,sdlog,1.475e+00,1.863e-01
NCT01194830,Lost to Follow-up,lnorm,meanlog,1.078e+01,1.482e+00
NCT01194830,Lost to Follow-up,lnorm,sdlog,1.374e+00,2.236e-01
NCT01194830,Other/Miscellaneous,lnorm,meanlog,8.728e+00,8.735e-01
NCT01194830,Other/Miscellaneous,lnorm,sdlog,1.027e+00,1.984e-01
NCT01204294,Adverse Event,lnorm,meanlog,1.321e+01,1.577e+00
NCT01204294,Adverse Event,lnorm,sdlog,1.398e+00,1.996e-01
NCT01210001,Adverse Event,lnorm,meanlog,1.032e+01,1.488e+00
NCT01210001,Adverse Event,lnorm,sdlog,9.520e-01,2.710e-01
NCT01214239,Voluntary Withdrawal,lnorm,meanlog,1.036e+01,1.437e+00
NCT01214239,Voluntary Withdrawal,lnorm,sdlog,1.100e+00,2.520e-01
NCT01306214,Adverse Event,lnorm,meanlog,9.377e+00,6.424e-01
NCT01306214,Adverse Event,lnorm,sdlog,7.642e-01,1.655e-01
NCT01306214,Protocol Violation,lnorm,meanlog,1.430e+01,2.064e+00
NCT01306214,Protocol Violation,lnorm,sdlog,1.479e+00,2.292e-01
NCT01306214,Voluntary Withdrawal,lnorm,meanlog,9.865e+00,7.556e-01
NCT01306214,Voluntary Withdrawal,lnorm,sdlog,8.724e-01,1.718e-01
NCT01335464,Adverse Event,lnorm,meanlog,7.662e+00,2.249e-01
NCT01335464,Adverse Event,lnorm,sdlog,6.476e-01,8.850e-02
NCT01335464,Voluntary Withdrawal,lnorm,meanlog,1.140e+01,1.338e+00
NCT01335464,Voluntary Withdrawal,lnorm,sdlog,1.108e+00,2.229e-01
NCT01335477,Adverse Event,lnorm,meanlog,7.740e+00,2.269e-01
NCT01335477,Adverse Event,lnorm,sdlog,7.032e-01,8.497e-02
NCT01335477,Voluntary Withdrawal,lnorm,meanlog,1.366e+01,1.818e+00
NCT01335477,Voluntary Withdrawal,lnorm,sdlog,1.446e+00,2.152e-01
NCT01368081,Adverse Event,lnorm,meanlog,1.118e+01,7.413e-01
NCT01368081,Adverse Event,lnorm,sdlog,1.106e+00,1.289e-01
NCT01368081,Other/Miscellaneous,lnorm,meanlog,1.794e+01,3.632e+00
NCT01368081,Other/Miscellaneous,lnorm,sdlog,1.625e+00,2.912e-01
NCT01368081,Voluntary Withdrawal,lnorm,meanlog,1.048e+01,7.547e-01
NCT01368081,Voluntary Withdrawal,lnorm,sdlog,8.834e-01,1.539e-01
NCT01370005,Adverse Event,lnorm,meanlog,9.393e+00,1.190e+00
NCT01370005,Adverse Event,lnorm,sdlog,8.760e-01,2.285e-01
NCT01422876,Adverse Event,lnorm,meanlog,1.215e+01,8.170e-01
NCT01422876,Adverse Event,lnorm,sdlog,1.282e+00,1.193e-01
NCT01422876,Lost to Follow-up,lnorm,meanlog,1.315e+01,9.657e-01
NCT01422876,Lost to Follow-up,lnorm,sdlog,1.407e+00,1.224e-01
NCT01422876,Other/Miscellaneous,lnorm,meanlog,1.227e+01,9.510e-01
NCT01422876,Other/Miscellaneous,lnorm,sdlog,1.234e+00,1.383e-01
NCT01422876,Protocol Violation,lnorm,meanlog,1.418e+01,2.179e+00
NCT01422876,Protocol Violation,lnorm,sdlog,1.259e+00,2.532e-01
NCT01422876,Voluntary Withdrawal,lnorm,meanlog,1.271e+01,1.153e+00
NCT01422876,Voluntary Withdrawal,lnorm,sdlog,1.246e+00,1.584e-01
NCT01558271,Adverse Event,lnorm,meanlog,9.081e+00,8.407e-01
NCT01558271,Adverse Event,lnorm,sdlog,5.090e-01,2.472e-01
NCT01558271,Voluntary Withdrawal,lnorm,meanlog,1.365e+01,1.438e+00
NCT01558271,Voluntary Withdrawal,lnorm,sdlog,1.592e+00,1.661e-01
NCT01621178,Adverse Event,lnorm,meanlog,1.195e+01,1.477e+00
NCT01621178,Adverse Event,lnorm,sdlog,1.154e+00,2.270e-01
NCT01621178,Other/Miscellaneous,lnorm,meanlog,9.729e+00,9.409e-01
NCT01621178,Other/Miscellaneous,lnorm,sdlog,7.008e-01,2.288e-01
NCT01621178,PI/Sponsor Decision,lnorm,meanlog,1.247e+01,1.688e+00
NCT01621178,PI/Sponsor Decision,lnorm,sdlog,1.222e+00,2.396e-01
NCT01621178,Voluntary Withdrawal,lnorm,meanlog,1.137e+01,8.286e-01
NCT01621178,Voluntary Withdrawal,lnorm,sdlog,1.374e+00,1.291e-01
NCT01624259,Adverse Event,lnorm,meanlog,1.066e+01,1.248e+00
NCT01624259,Adverse Event,lnorm,sdlog,1.069e+00,2.136e-01
NCT01624259,Voluntary Withdrawal,lnorm,meanlog,1.231e+01,2.010e+00
NCT01624259,Voluntary Withdrawal,lnorm,sdlog,1.226e+00,2.691e-01
NCT01694771,Adverse Event,lnorm,meanlog,9.697e+00,8.651e-01
NCT01694771,Adverse Event,lnorm,sdlog,1.029e+00,1.540e-01
NCT01694771,Other/Miscellaneous,lnorm,meanlog,9.918e+00,1.534e+00
NCT01694771,Other/Miscellaneous,lnorm,sdlog,8.534e-01,2.708e-01
NCT01694771,Protocol Violation,lnorm,meanlog,1.004e+01,1.514e+00
NCT01694771,Protocol Violation,lnorm,sdlog,8.891e-01,2.613e-01
NCT01694771,Voluntary Withdrawal,lnorm,meanlog,1.024e+01,1.389e+00
NCT01694771,Voluntary Withdrawal,lnorm,sdlog,9.613e-01,2.303e-01
NCT01708902,Adverse Event,lnorm,meanlog,1.194e+01,1.325e+00
NCT01708902,Adverse Event,lnorm,sdlog,1.328e+00,1.797e-01
NCT01708902,Voluntary Withdrawal,lnorm,meanlog,1.278e+01,1.616e+00
NCT01708902,Voluntary Withdrawal,lnorm,sdlog,1.402e+00,1.968e-01
NCT01719003,Adverse Event,lnorm,meanlog,1.292e+01,1.244e+00
NCT01719003,Adverse Event,lnorm,sdlog,1.400e+00,1.495e-01
NCT01719003,Lost to Follow-up,lnorm,meanlog,1.860e+01,2.607e+00
NCT01719003,Lost to Follow-up,lnorm,sdlog,1.861e+00,1.839e-01
NCT01719003,Other/Miscellaneous,lnorm,meanlog,1.367e+01,2.216e+00
NCT01719003,Other/Miscellaneous,lnorm,sdlog,1.300e+00,2.500e-01
NCT01719003,Protocol Violation,lnorm,meanlog,1.401e+01,2.560e+00
NCT01719003,Protocol Violation,lnorm,sdlog,1.297e+00,2.790e-01
NCT01719003,Voluntary Withdrawal,lnorm,meanlog,1.191e+01,1.065e+00
NCT01719003,Voluntary Withdrawal,lnorm,sdlog,1.267e+00,1.470e-01
NCT01769378,Adverse Event,lnorm,meanlog,1.164e+01,2.032e+00
NCT01769378,Adverse Event,lnorm,sdlog,1.276e+00,2.888e-01
NCT01769378,Voluntary Withdrawal,lnorm,meanlog,9.647e+00,1.386e+00
NCT01769378,Voluntary Withdrawal,lnorm,sdlog,9.114e-01,2.839e-01
NCT02152371,Voluntary Withdrawal,lnorm,meanlog,9.314e+00,1.248e+00
NCT02152371,Voluntary Withdrawal,lnorm,sdlog,8.007e-01,2.862e-01
NCT02172287,Adverse Event,lnorm,meanlog,8.652e+00,4.358e-01
NCT02172287,Adverse Event,lnorm,sdlog,1.156e+00,9.548e-02
NCT02172287,Voluntary Withdrawal,lnorm,meanlog,1.361e+01,1.714e+00
NCT02172287,Voluntary Withdrawal,lnorm,sdlog,1.578e+00,1.840e-01
NCT02172586,Voluntary Withdrawal,lnorm,meanlog,1.082e+01,1.464e+00
NCT02172586,Voluntary Withdrawal,lnorm,sdlog,1.179e+00,2.363e-01
NCT02175355,Adverse Event,lnorm,meanlog,8.613e+00,1.012e+00
NCT02175355,Adverse Event,lnorm,sdlog,8.823e-01,1.962e-01
NCT02175355,Protocol Violation,lnorm,meanlog,6.007e+00,4.131e-01
NCT02175355,Protocol Violation,lnorm,sdlog,1.711e-01,1.706e-01
NCT02177344,Adverse Event,lnorm,meanlog,1.135e+01,1.134e+00
NCT02177344,Adverse Event,lnorm,sdlog,1.329e+00,1.639e-01
NCT02177344,Other/Miscellaneous,lnorm,meanlog,1.300e+01,1.642e+00
NCT02177344,Other/Miscellaneous,lnorm,sdlog,1.480e+00,1.914e-01
NCT02177344,Voluntary Withdrawal,lnorm,meanlog,1.454e+01,2.116e+00
NCT02177344,Voluntary Withdrawal,lnorm,sdlog,1.622e+00,2.080e-01
NCT02177396,Adverse Event,lnorm,meanlog,9.464e+00,1.532e+00
NCT02177396,Adverse Event,lnorm,sdlog,1.055e+00,2.629e-01
NCT02177396,Lack of Efficacy,lnorm,meanlog,7.744e+00,1.128e+00
NCT02177396,Lack of Efficacy,lnorm,sdlog,6.366e-01,2.851e-01
NCT02177461,Adverse Event,lnorm,meanlog,1.039e+01,1.286e+00
NCT02177461,Adverse Event,lnorm,sdlog,1.149e+00,2.187e-01
NCT02177461,Lack of Efficacy,lnorm,meanlog,6.609e+00,2.734e-01
NCT02177461,Lack of Efficacy,lnorm,sdlog,1.408e-01,1.522e-01
NCT02177461,Protocol Violation,lnorm,meanlog,1.189e+01,1.870e+00
NCT02177461,Protocol Violation,lnorm,sdlog,1.320e+00,2.528e-01
NCT02177461,Voluntary Withdrawal,lnorm,meanlog,8.024e+00,4.936e-01
NCT02177461,Voluntary Withdrawal,lnorm,sdlog,8.840e-01,1.355e-01
NCT02183064,Adverse Event,lnorm,meanlog,1.409e+01,1.384e+00
NCT02183064,Adverse Event,lnorm,sdlog,1.568e+00,1.443e-01
NCT02183064,Other/Miscellaneous,lnorm,meanlog,1.267e+01,1.723e+00
NCT02183064,Other/Miscellaneous,lnorm,sdlog,1.227e+00,2.198e-01
NCT02183064,Voluntary Withdrawal,lnorm,meanlog,1.389e+01,1.380e+00
NCT02183064,Voluntary Withdrawal,lnorm,sdlog,1.533e+00,1.475e-01
NCT02200653,Adverse Event,lnorm,meanlog,1.065e+01,1.825e+00
NCT02200653,Adverse Event,lnorm,sdlog,1.265e+00,2.581e-01
NCT02240680,Adverse Event,lnorm,meanlog,1.198e+01,1.800e+00
NCT02240680,Adverse Event,lnorm,sdlog,1.327e+00,2.514e-01
NCT02489968,Adverse Event,lnorm,meanlog,1.094e+01,1.240e+00
NCT02489968,Adverse Event,lnorm,sdlog,1.109e+00,2.137e-01
NCT02750410,Adverse Event,lnorm,meanlog,9.569e+00,1.078e+00
NCT02750410,Adverse Event,lnorm,sdlog,9.473e-01,2.538e-01
NCT00034840,Lack of Efficacy,weibull,shape,7.040e-01,2.826e-01
NCT00034840,Lack of Efficacy,weibull,scale,5.860e+00,5.328e-01
NCT00051558,Adverse Event,weibull,shape,-4.203e-01,1.360e-01
NCT00051558,Adverse Event,weibull,scale,9.957e+00,4.846e-01
NCT00051558,Lost to Follow-up,weibull,shape,-2.405e-01,2.414e-01
NCT00051558,Lost to Follow-up,weibull,scale,1.092e+01,1.043e+00
NCT00051558,Other/Miscellaneous,weibull,shape,-3.108e-01,1.658e-01
NCT00051558,Other/Miscellaneous,weibull,scale,1.018e+01,6.100e-01
NCT00051558,PI/Sponsor Decision,weibull,shape,1.569e-01,2.669e-01
NCT00051558,PI/Sponsor Decision,weibull,scale,9.774e+00,8.108e-01
NCT00051558,Voluntary Withdrawal,weibull,shape,-4.121e-02,1.110e-01
NCT00051558,Voluntary Withdrawal,weibull,scale,8.573e+00,2.283e-01
NCT00125918,Adverse Event,weibull,shape,9.299e-02,1.443e-01
NCT00125918,Adverse Event,weibull,scale,6.640e+00,3.111e-01
NCT00152984,Adverse Event,weibull,shape,-1.193e-01,2.870e-01
NCT00152984,Adverse Event,weibull,scale,8.574e+00,1.227e+00
NCT00153023,Adverse Event,weibull,shape,-3.256e-01,1.034e-01
NCT00153023,Adverse Event,weibull,scale,8.934e+00,3.540e-01
NCT00153023,Other/Miscellaneous,weibull,shape,-7.799e-01,2.084e-01
NCT00153023,Other/Miscellaneous,weibull,scale,1.376e+01,1.727e+00
NCT00153023,Protocol Violation,weibull,shape,-3.862e-01,2.427e-01
NCT00153023,Protocol Violation,weibull,scale,1.164e+01,1.459e+00
NCT00153023,Voluntary Withdrawal,weibull,shape,-7.038e-01,1.813e-01
NCT00153023,Voluntary Withdrawal,weibull,scale,1.262e+01,1.294e+00
NCT00153088,Adverse Event,weibull,shape,-2.845e-01,1.270e-01
NCT00153088,Adverse Event,weibull,scale,9.100e+00,4.056e-01
NCT00153088,Voluntary Withdrawal,weibull,shape,4.025e-02,2.709e-01
NCT00153088,Voluntary Withdrawal,weibull,scale,9.805e+00,9.984e-01
NCT00168831,Adverse Event,weibull,shape,-4.306e-01,7.681e-02
NCT00168831,Adverse Event,weibull,scale,8.455e+00,2.440e-01
NCT00168831,Lost to Follow-up,weibull,shape,-9.526e-02,2.559e-01
NCT00168831,Lost to Follow-up,weibull,scale,1.034e+01,1.211e+00
NCT00168831,Other/Miscellaneous,weibull,shape,-2.447e-01,2.477e-01
NCT00168831,Other/Miscellaneous,weibull,scale,1.099e+01,1.344e+00
NCT00168831,Protocol Violation,weibull,shape,-6.846e-01,1.829e-01
NCT00168831,Protocol Violation,weibull,scale,1.267e+01,1.333e+00
NCT00168831,Voluntary Withdrawal,weibull,shape,-5.254e-01,1.525e-01
NCT00168831,Voluntary Withdrawal,weibull,scale,1.104e+01,8.575e-01
NCT00168844,Adverse Event,weibull,shape,-3.051e-01,9.193e-02
NCT00168844,Adverse Event,weibull,scale,8.616e+00,2.936e-01
NCT00168844,Lost to Follow-up,weibull,shape,-4.828e-01,2.171e-01
NCT00168844,Lost to Follow-up,weibull,scale,1.195e+01,1.399e+00
NCT00168844,Other/Miscellaneous,weibull,shape,-3.046e-01,2.113e-01
NCT00168844,Other/Miscellaneous,weibull,scale,1.087e+01,1.123e+00
NCT00168844,Voluntary Withdrawal,weibull,shape,-7.757e-01,1.605e-01
NCT00168844,Voluntary Withdrawal,weibull,scale,1.274e+01,1.185e+00
NCT00168857,Adverse Event,weibull,shape,-3.684e-02,9.961e-02
NCT00168857,Adverse Event,weibull,scale,8.061e+00,2.451e-01
NCT00168857,Lost to Follow-up,weibull,shape,-3.861e-01,2.814e-01
NCT00168857,Lost to Follow-up,weibull,scale,1.204e+01,1.800e+00
NCT00168857,Other/Miscellaneous,weibull,shape,-1.009e+00,2.322e-01
NCT00168857,Other/Miscellaneous,weibull,scale,1.632e+01,2.533e+00
NCT00168857,Protocol Violation,weibull,shape,-6.706e-03,1.834e-01
NCT00168857,Protocol Violation,weibull,scale,9.225e+00,6.482e-01
NCT00168857,Voluntary Withdrawal,weibull,shape,-3.581e-01,2.436e-01
NCT00168857,Voluntary Withdrawal,weibull,scale,1.145e+01,1.418e+00
NCT00239421,Adverse Event,weibull,shape,1.057e-01,2.643e-01
NCT00239421,Adverse Event,weibull,scale,7.156e+00,9.233e-01
NCT00274014,Adverse Event,weibull,shape,-3.291e-01,9.197e-02
NCT00274014,Adverse Event,weibull,scale,8.727e+00,3.050e-01
NCT00274014,Other/Miscellaneous,weibull,shape,2.098e-02,1.535e-01
NCT00274014,Other/Miscellaneous,weibull,scale,8.866e+00,4.998e-01
NCT00274014,Protocol Violation,weibull,shape,-2.553e-01,1.926e-01
NCT00274014,Protocol Violation,weibull,scale,1.043e+01,9.377e-01
NCT00274014,Voluntary Withdrawal,weibull,shape,-2.691e-01,1.420e-01
NCT00274014,Voluntary Withdrawal,weibull,scale,9.695e+00,5.931e-01
NCT00274053,Adverse Event,weibull,shape,-1.768e-01,1.459e-01
NCT00274053,Adverse Event,weibull,scale,8.464e+00,4.657e-01
NCT00274053,Protocol Violation,weibull,shape,-1.512e-01,2.111e-01
NCT00274053,Protocol Violation,weibull,scale,9.250e+00,8.268e-01
NCT00274053,Voluntary Withdrawal,weibull,shape,-3.879e-01,1.945e-01
NCT00274053,Voluntary Withdrawal,weibull,scale,9.991e+00,9.213e-01
NCT00274079,Adverse Event,weibull,shape,-2.268e-01,1.706e-01
NCT00274079,Adverse Event,weibull,scale,7.426e+00,5.670e-01
NCT00274547,Adverse Event,weibull,shape,-3.629e-01,6.074e-02
NCT00274547,Adverse Event,weibull,scale,7.865e+00,1.898e-01
NCT00274547,Lost to Follow-up,weibull,shape,5.137e-01,3.039e-01
NCT00274547,Lost to Follow-up,weibull,scale,8.219e+00,9.438e-01
NCT00274547,Other/Miscellaneous,weibull,shape,-6.293e-01,1.991e-01
NCT00274547,Other/Miscellaneous,weibull,scale,1.314e+01,1.648e+00
NCT00274547,Protocol Violation,weibull,shape,-2.083e-01,1.612e-01
NCT00274547,Protocol Violation,weibull,scale,9.883e+00,7.938e-01
NCT00274547,Voluntary Withdrawal,weibull,shape,-2.378e-01,1.229e-01
NCT00274547,Voluntary Withdrawal,weibull,scale,9.335e+00,5.421e-01
NCT00274560,Adverse Event,weibull,shape,-3.324e-01,1.453e-01
NCT00274560,Adverse Event,weibull,scale,8.063e+00,5.698e-01
NCT00274560,Voluntary Withdrawal,weibull,shape,1.130e-01,2.837e-01
NCT00274560,Voluntary Withdrawal,weibull,scale,7.952e+00,1.034e+00
NCT00274573,Adverse Event,weibull,shape,-4.384e-01,6.819e-02
NCT00274573,Adverse Event,weibull,scale,7.490e+00,2.402e-01
NCT00274573,Other/Miscellaneous,weibull,shape,-2.190e-01,1.742e-01
NCT00274573,Other/Miscellaneous,weibull,scale,9.218e+00,8.746e-01
NCT00274573,Protocol Violation,weibull,shape,6.497e-02,2.278e-01
NCT00274573,Protocol Violation,weibull,scale,8.530e+00,9.695e-01
NCT00274573,Voluntary Withdrawal,weibull,shape,-1.128e-01,1.830e-01
NCT00274573,Voluntary Withdrawal,weibull,scale,8.843e+00,8.451e-01
NCT00274599,Adverse Event,weibull,shape,-2.060e-01,1.689e-01
NCT00274599,Adverse Event,weibull,scale,8.424e+00,6.858e-01
NCT00274599,Lack of Efficacy,weibull,shape,2.396e-01,2.830e-01
NCT00274599,Lack of Efficacy,weibull,scale,7.857e+00,9.562e-01
NCT00274599,Lost to Follow-up,weibull,shape,-3.205e-01,3.118e-01
NCT00274599,Lost to Follow-up,weibull,scale,1.058e+01,1.928e+00
NCT00274599,Other/Miscellaneous,weibull,shape,-8.543e-01,3.135e-01
NCT00274599,Other/Miscellaneous,weibull,scale,1.484e+01,3.314e+00
NCT00274599,Voluntary Withdrawal,weibull,shape,1.397e-01,2.313e-01
NCT00274599,Voluntary Withdrawal,weibull,scale,7.850e+00,7.854e-01
NCT00274612,Adverse Event,weibull,shape,-1.892e-01,1.644e-01
NCT00274612,Adverse Event,weibull,scale,8.301e+00,6.441e-01
NCT00274612,Lack of Efficacy,weibull,shape,1.035e-01,3.109e-01
NCT00274612,Lack of Efficacy,weibull,scale,8.514e+00,1.253e+00
NCT00274612,Other/Miscellaneous,weibull,shape,1.815e-01,2.382e-01
NCT00274612,Other/Miscellaneous,weibull,scale,7.776e+00,7.850e-01
NCT00277264,Adverse Event,weibull,shape,-6.111e-01,9.165e-02
NCT00277264,Adverse Event,weibull,scale,9.447e+00,3.872e-01
NCT00277264,Other/Miscellaneous,weibull,shape,-3.570e-01,2.664e-01
NCT00277264,Other/Miscellaneous,weibull,scale,1.167e+01,1.637e+00
NCT00277264,Protocol Violation,weibull,shape,-3.653e-01,2.568e-01
NCT00277264,Protocol Violation,weibull,scale,1.161e+01,1.564e+00
NCT00277264,Voluntary Withdrawal,weibull,shape,-4.544e-01,1.142e-01
NCT00277264,Voluntary Withdrawal,weibull,scale,9.605e+00,4.839e-01
